id_albuma,descriptive_word
238,atmospheric
238,uplifting
238,playful
238,melodic
238,sentimental
239,epic
239,space
239,instrumental
239,orchestral
239,melodic
239,anthemic
239,uplifting
239,atmospheric
239,triumphant
240,psychedelic
240,warm
240,bittersweet
240,lush
240,uplifting
240,melodic
240,melancholic
240,atmospheric
240,male vocals
241,instrumental
241,mysterious
241,improvisation
241,atmospheric
241,surreal
241,spiritual
241,hypnotic
241,rhythmic
241,nocturnal
242,apocalyptic
242,urban
242,angry
242,rhythmic
242,conscious
242,political
242,anxious
242,male vocals
242,dark
243,raw
243,passionate
243,introspective
243,existential
243,male vocals
243,anxious
243,angry
243,alienation
243,political
244,improvisation
244,instrumental
244,acoustic
245,bittersweet
245,melancholic
245,melodic
245,passionate
245,sombre
245,sad
245,male vocals
245,atmospheric
245,acoustic
246,atmospheric
246,anxious
246,sexual
246,male vocals
246,melancholic
246,heavy
246,romantic
246,drugs
246,sombre
247,poetic
247,melancholic
247,progressive
247,mellow
247,complex
247,existential
247,passionate
247,male vocals
247,autumn
248,male vocals
248,sentimental
248,melodic
249,female vocals
249,passionate
249,eclectic
249,melodic
249,progressive
249,nocturnal
249,ethereal
249,complex
249,concept album
250,melancholic
250,raw
250,lonely
250,sombre
250,male vocals
250,desert
250,introspective
250,dark
250,alienation
251,female vocals
251,lush
251,ethereal
251,melodic
251,romantic
251,longing
251,warm
251,soft
251,bittersweet
252,eclectic
252,surreal
252,drugs
252,psychedelic
252,melancholic
252,atmospheric
252,bittersweet
252,male vocals
252,autumn
253,technical
253,philosophical
253,complex
253,male vocals
253,existential
253,progressive
253,uncommon time signatures
253,aggressive
253,poetic
254,eclectic
254,anxious
254,dense
254,playful
254,female vocals
254,lush
254,complex
254,progressive
254,melodic
255,spiritual
255,improvisation
255,avant-garde
255,chaotic
255,complex
255,dense
256,male vocals
256,heavy
256,energetic
256,occult
256,melodic
256,raw
257,uncommon time signatures
257,mellow
257,instrumental
257,playful
257,melodic
257,rhythmic
257,acoustic
257,soothing
257,complex
258,aquatic
258,playful
258,humorous
